name,description,reason,company,rating
Electrokind L Lemon Liquid 200ml,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Glenmark Pharmaceuticals Ltd.,2.7
Electrokind Z Powder 21.5gm," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,JB Chemicals & Pharmaceuticals Ltd.,2.5
Enbios 250mg PowderEnbios Suspension 5ml, reduces diarrhoea,Diarrhoea,Sun Pharmaceutical Industries Ltd.,4.8
Entamizole O Tablet 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Dr. Reddys Laboratories Ltd.,4.7
Entero Plus Capsule 10'SEntero Plus 1000mg Sachet 1'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Divis Laboratories Ltd.,4.5
Enteroclausi Sachet 1gm, reduces diarrhoea,Diarrhoea,Cipla Ltd.,4.3
Enteroclausi Ffs Suspension 5ml,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Biocon Ltd.,4.1
Enterogermina Suspension 5mlEnterogermina Capsule 4'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Aurobindo Pharma Ltd.,3.9
Enterolife Sachet 1gm, reduces diarrhoea,Diarrhoea,Torrent Pharmaceuticals Ltd.,3.5
Enteroquinol Tablet 20'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Lupin Ltd.,3.4
Entroflora Powder 765mgEntroflora Capsule 10'SEntroflora Suspension 5mlEntroflora Sachet 3Gm," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Cadila Healthcare Ltd.,3.3
Entromax SachetEntromax Suspension 5ml, reduces diarrhoea,Diarrhoea,Abbott India Ltd.,3.25
Enuff 30mg Powder Sachet 20X3GmEnuff DT 10mg Tablet 10'SEnuff 15mg Powder 1.5gmEnuff 10mg Sachet 1gmEnuff DT 30mg Tablet 10'SEnuff 100mg Capsule 10'SEnuff 10mg Powder Sachet 20X1gmEnuff 30mg Sachet 3Gm, reduces diarrhoea,Diarrhoea,Alkem Laboratories Ltd.,3.2
Enzispor Capsule 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Glaxosmithkline Pharmaceuticals Ltd.,3.1
Eubioz Capsule 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Ipca Laboratories Ltd.,3.0
Eugi Sachet 1gmEugi Capsule 10'S, reduces diarrhoea,Diarrhoea,Alembic Pharmaceuticals Ltd.,2.9
Eugipro 2Miu Suspension 5ml,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Glenmark Pharmaceuticals Ltd.,2.7
EVEBACT Capsule 28's," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,JB Chemicals & Pharmaceuticals Ltd.,2.5
Exdara 15mg Powder 1gm, reduces diarrhoea,Diarrhoea,Sun Pharmaceutical Industries Ltd.,4.8
Fembio Capsule 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Dr. Reddys Laboratories Ltd.,4.7
Flora Tablet 10'SFlora BC Capsule 10'SFlora BC Dry Syrup 60ml," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Divis Laboratories Ltd.,4.5
Flora DT Tablet 10'S, reduces diarrhoea,Diarrhoea,Cipla Ltd.,4.3
Floristore Capsule 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Biocon Ltd.,4.1
Florobact Capsule 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Aurobindo Pharma Ltd.,3.9
Fourts B Lac Capsule 10'S, reduces diarrhoea,Diarrhoea,Torrent Pharmaceuticals Ltd.,3.5
Gastrobact Capsule 10'SGastrobact Sachet,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Lupin Ltd.,3.4
GI BACT Sachet 1gm," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Cadila Healthcare Ltd.,3.3
Gilac Capsule 10's, reduces diarrhoea,Diarrhoea,Abbott India Ltd.,3.25
Glendoper 2mg Capsule 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Alkem Laboratories Ltd.,3.2
Gnorm Granules 765mgGnorm Capsule 6'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Glaxosmithkline Pharmaceuticals Ltd.,3.1
Goodbelly Capsule 10'S, reduces diarrhoea,Diarrhoea,Ipca Laboratories Ltd.,3.0
GUT OK Dry Syrup 50ml, reduces diarrhoea,Diarrhoea,Alembic Pharmaceuticals Ltd.,2.9
GUT OK NF Capsule 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Glenmark Pharmaceuticals Ltd.,2.7
GUT Renew Capsule 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,JB Chemicals & Pharmaceuticals Ltd.,2.5
Gutgain Sachet 1X1gm, reduces diarrhoea,Diarrhoea,Sun Pharmaceutical Industries Ltd.,4.8
GUTGERMINA Oral Suspension 5ml,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Dr. Reddys Laboratories Ltd.,4.7
Gutnext Powder 1gm," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Divis Laboratories Ltd.,4.5
Gutpro Sachet 0.5gmGutpro Granules Sachet 10X0.5gm, reduces diarrhoea,Diarrhoea,Cipla Ltd.,4.3
Gutrite Sachet 1gmGutrite SB Sachet 1gm,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Biocon Ltd.,4.1
Gutsium Capsule 30'SGutsium Capsule 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Aurobindo Pharma Ltd.,3.9
Gutspert Oral Suspension 5mlGutspert Sachet 1gm, reduces diarrhoea,Diarrhoea,Torrent Pharmaceuticals Ltd.,3.5
HALTZ 100mg Capsule 10's,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Lupin Ltd.,3.4
Hydral Capsule 4'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Cadila Healthcare Ltd.,3.3
Immunobact Capsule 10'S, reduces diarrhoea,Diarrhoea,Abbott India Ltd.,3.25
Imodium Capsule 4'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Alkem Laboratories Ltd.,3.2
Imosec M Tablet 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Glaxosmithkline Pharmaceuticals Ltd.,3.1
Imubless Sachet 1gmImubless Capsule 10'S, reduces diarrhoea,Diarrhoea,Ipca Laboratories Ltd.,3.0
Inbalanse Z 1gm Granule,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Alembic Pharmaceuticals Ltd.,2.9
Inlosa Plus Capsule 10's," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Glenmark Pharmaceuticals Ltd.,2.7
Instamune Powder 90gm, reduces diarrhoea,Diarrhoea,JB Chemicals & Pharmaceuticals Ltd.,2.5
Kidilac Dry Syrup 50ml, reduces diarrhoea,Diarrhoea,Sun Pharmaceutical Industries Ltd.,4.8
Lacfid Sachet 1gm,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Dr. Reddys Laboratories Ltd.,4.7
Lactacyd Lotion 50ml," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Divis Laboratories Ltd.,4.5
Lactes Chewable Tablet 10'S, reduces diarrhoea,Diarrhoea,Cipla Ltd.,4.3
Lactifem Liquid 100ml,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Biocon Ltd.,4.1
Lactifiber Granule 15gm," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Aurobindo Pharma Ltd.,3.9
Lactiflora Powder 1gm, reduces diarrhoea,Diarrhoea,Torrent Pharmaceuticals Ltd.,3.5
Lactiviest Sachet 1gm,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Sun Pharmaceutical Industries Ltd.,4.8
Lactobail Sachet 1'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Dr. Reddys Laboratories Ltd.,4.7
Lactocip Tablet 15'S, reduces diarrhoea,Diarrhoea,Divis Laboratories Ltd.,4.5
Lactocip DS Tablet 15'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Cipla Ltd.,4.3
Lactogut Capsule 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Biocon Ltd.,4.1
Lactogut Kidz Sachet 1gm, reduces diarrhoea,Diarrhoea,Aurobindo Pharma Ltd.,3.9
Lactonam Tablet 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Torrent Pharmaceuticals Ltd.,3.5
Lactovit Capsule 15'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Lupin Ltd.,3.4
Laff Tablet 10'S, reduces diarrhoea,Diarrhoea,Cadila Healthcare Ltd.,3.3
Laff XT Capsule 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Abbott India Ltd.,3.25
Leebiotic Capsule 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Alkem Laboratories Ltd.,3.2
Leedott 100mg Capsule 10'SLeedott Powder 1gm, reduces diarrhoea,Diarrhoea,Glaxosmithkline Pharmaceuticals Ltd.,3.1
Leviosa 299V Capsule 10'S, reduces diarrhoea,Diarrhoea,Ipca Laboratories Ltd.,3.0
Lobun Capsule 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Alembic Pharmaceuticals Ltd.,2.9
Lobun Forte Capsule 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Glenmark Pharmaceuticals Ltd.,2.7
Lomide Tablet 10'S, reduces diarrhoea,Diarrhoea,JB Chemicals & Pharmaceuticals Ltd.,2.5
Lomofen Plus 2mg Tablet 20'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Sun Pharmaceutical Industries Ltd.,4.8
Lomorest 10mg Sachet 1gm," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Dr. Reddys Laboratories Ltd.,4.7
Lomotil Tablet 20'SLomotil Tablet 10'S, reduces diarrhoea,Diarrhoea,Divis Laboratories Ltd.,4.5
Lona Cream 500gm,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Cipla Ltd.,4.3
Loopra 2mg Capsule 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Biocon Ltd.,4.1
Lopajoy 2mg Tablet 10'S, reduces diarrhoea,Diarrhoea,Aurobindo Pharma Ltd.,3.9
Lopamax 2mg Tablet 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Torrent Pharmaceuticals Ltd.,3.5
Lopamide 2mg Tablet 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Lupin Ltd.,3.4
Lopanam 2mg Tablet 10'S, reduces diarrhoea,Diarrhoea,Cadila Healthcare Ltd.,3.3
Loparet Tablet 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Abbott India Ltd.,3.25
Loperamide (Zydus) 2mg Tablet 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Alkem Laboratories Ltd.,3.2
Lopidus 2mg Capsule 10'S, reduces diarrhoea,Diarrhoea,Glaxosmithkline Pharmaceuticals Ltd.,3.1
LORAMYL 2mg Tablet 10's,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Ipca Laboratories Ltd.,3.0
LUMENTA Tablet 10's," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Alembic Pharmaceuticals Ltd.,2.9
Lupidium 2mg Tablet 10'S, reduces diarrhoea,Diarrhoea,Glenmark Pharmaceuticals Ltd.,2.7
Lupigut Capsule 10'S, reduces diarrhoea,Diarrhoea,JB Chemicals & Pharmaceuticals Ltd.,2.5
Magnipro Z Sachet 1gm,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Sun Pharmaceutical Industries Ltd.,4.8
Matrix Tablet 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Dr. Reddys Laboratories Ltd.,4.7
Metrofur Plus Tablet 15's, reduces diarrhoea,Diarrhoea,Divis Laboratories Ltd.,4.5
Metroquin Tablet 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Cipla Ltd.,4.3
Neosmile Drops 10ml," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Biocon Ltd.,4.1
NEW Probiza Capsule 10'S, reduces diarrhoea,Diarrhoea,Aurobindo Pharma Ltd.,3.9
Nitrophage Sachet 6x1gm,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Torrent Pharmaceuticals Ltd.,3.5
Norflot TZ Tablet 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Lupin Ltd.,3.4
Norflox LB Tablet 10'S, reduces diarrhoea,Diarrhoea,Cadila Healthcare Ltd.,3.3
Norflox OZ LB 500/400mg Tablet 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Abbott India Ltd.,3.25
Normagut Capsule 10'SNormagut Powder 1gmNormagut 2.5mg Tablet 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Alkem Laboratories Ltd.,3.2
Norstrep Capsule 10's, reduces diarrhoea,Diarrhoea,Glaxosmithkline Pharmaceuticals Ltd.,3.1
Novaflox TZ Tablet 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Ipca Laboratories Ltd.,3.0
Novogermina Suspension 5ml," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Sun Pharmaceutical Industries Ltd.,4.8
Noxigyl Syrup 30mlNoxigyl Tablet 10'S, reduces diarrhoea,Diarrhoea,Dr. Reddys Laboratories Ltd.,4.7
Nutrolin B Plus Capsule 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Divis Laboratories Ltd.,4.5
Nutrolin B Syrup 60ml," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Cipla Ltd.,4.3
Nutrolin B Ped Tablet 10'S, reduces diarrhoea,Diarrhoea,Biocon Ltd.,4.1
Nutrolin B Plus Capsule 15'S, reduces diarrhoea,Diarrhoea,Aurobindo Pharma Ltd.,3.9
O2 Pro Oral Suspension 5ml,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Torrent Pharmaceuticals Ltd.,3.5
Oford LB Tablet 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Lupin Ltd.,3.4
Oltef RC Syrup 30ml, reduces diarrhoea,Diarrhoea,Cadila Healthcare Ltd.,3.3
ORS (CADILA) LEMON FLAVOUR Powder 21gm,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Abbott India Ltd.,3.25
Oxalo Capsule 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Alkem Laboratories Ltd.,3.2
Oxalo Forte Capsule 10'S, reduces diarrhoea,Diarrhoea,Glaxosmithkline Pharmaceuticals Ltd.,3.1
Oxastop Capsule 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Ipca Laboratories Ltd.,3.0
OXBIND Capsule 10's," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Alembic Pharmaceuticals Ltd.,2.9
Ozolab Powder 1.8Gm, reduces diarrhoea,Diarrhoea,Glenmark Pharmaceuticals Ltd.,2.7
PARABACT Tablet 20's,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,JB Chemicals & Pharmaceuticals Ltd.,2.5
Pedismec Powder 3*4GmPedismec Powder 5gm," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Sun Pharmaceutical Industries Ltd.,4.8
POWERGYL NEW Suspension 30ml, reduces diarrhoea,Diarrhoea,Dr. Reddys Laboratories Ltd.,4.7
PRE 4 Capsule 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Divis Laboratories Ltd.,4.5
PRE Pro Capsule 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Cipla Ltd.,4.3
PRE Proder Capsule 10'S, reduces diarrhoea,Diarrhoea,Biocon Ltd.,4.1
Prepro Kid Powder 1gm,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Sun Pharmaceutical Industries Ltd.,4.8
Prepro HS Capsule 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Dr. Reddys Laboratories Ltd.,4.7
Probigress Capsule 10'S, reduces diarrhoea,Diarrhoea,Divis Laboratories Ltd.,4.5
Procillus Gg 10 Sachet 1's, reduces diarrhoea,Diarrhoea,Cipla Ltd.,4.3
Proentra Sachet 1gm,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Biocon Ltd.,4.1
Progut Capsule 10'SProgut Suspension 5mlProgut Powder 1gm," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Aurobindo Pharma Ltd.,3.9
Progut O Suspension 5ml, reduces diarrhoea,Diarrhoea,Torrent Pharmaceuticals Ltd.,3.5
Progut S Powder 1'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Lupin Ltd.,3.4
Providac 1 M Capsule 10'SProvidac Sachet 1'SProvidac Capsule 14'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Cadila Healthcare Ltd.,3.3
Prowel Dry Syrup 30mlProwel Capsule 10'SProwel Sachet 1gm, reduces diarrhoea,Diarrhoea,Abbott India Ltd.,3.25
Prozoten 2mg Tablet 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Alkem Laboratories Ltd.,3.2
Racaril 100mg Tablet 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Glaxosmithkline Pharmaceuticals Ltd.,3.1
Racebase Tablet 10'S, reduces diarrhoea,Diarrhoea,Ipca Laboratories Ltd.,3.0
Racebase Junior Powder 1gm,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Alembic Pharmaceuticals Ltd.,2.9
Racedot 10mg Tablet 10'SRacedot 100mg Capsule 6'SRacedot Powder 3Gm," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Glenmark Pharmaceuticals Ltd.,2.7
Racetril 15mg Powder 1gmRacetril 15mg Tablet 10'S, reduces diarrhoea,Diarrhoea,JB Chemicals & Pharmaceuticals Ltd.,2.5
RACEX 100mg Capsule 10's,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Sun Pharmaceutical Industries Ltd.,4.8
Racigyl 100mg Capsule 10'SRacigyl 100mg Tablet 10'SRacigyl Powder 1gmRacigyl Sachet 10X1gmRacigyl Kid Tablet 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Dr. Reddys Laboratories Ltd.,4.7
Racigyl O Dry Syrup 50mlRacigyl O Tablet 10'S, reduces diarrhoea,Diarrhoea,Divis Laboratories Ltd.,4.5
Racigyl SB Sachet 1gm,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Cipla Ltd.,4.3
Racotil 100mg Capsule 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Biocon Ltd.,4.1
Racy 100mg Capsule 10'S, reduces diarrhoea,Diarrhoea,Aurobindo Pharma Ltd.,3.9
Radotil 100mg Tablet 10'S, reduces diarrhoea,Diarrhoea,Torrent Pharmaceuticals Ltd.,3.5
Redotil 30mg Powder Sachet 30X1gmRedotil 30mg Powder Sachet 3GmRedotil 100mg Capsule 15'SRedotil 10mg Powder Sachet 30X1gmRedotil Sachet 1gm,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Lupin Ltd.,3.4
Reflora Z Powder 1gmReflora Z Capsule 10'SReflora Kid Powder 1gm," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Cadila Healthcare Ltd.,3.3
Reflora R Powder 1gm, reduces diarrhoea,Diarrhoea,Abbott India Ltd.,3.25
Relac Tablet 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Alkem Laboratories Ltd.,3.2
Relac B Capsule 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Glaxosmithkline Pharmaceuticals Ltd.,3.1
Remune Sachet 1gm, reduces diarrhoea,Diarrhoea,Ipca Laboratories Ltd.,3.0
Remune AL Sachet Powder 1gm,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Alembic Pharmaceuticals Ltd.,2.9
Ridol Tablet 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Glenmark Pharmaceuticals Ltd.,2.7
Ridosmec Sachet 3.8Gm, reduces diarrhoea,Diarrhoea,JB Chemicals & Pharmaceuticals Ltd.,2.5
Rokamide 2mg Tablet 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Sun Pharmaceutical Industries Ltd.,4.8
Roko 2mg Capsule 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Dr. Reddys Laboratories Ltd.,4.7
Sacctik Plus Oral Suspension 6x5ml, reduces diarrhoea,Diarrhoea,Divis Laboratories Ltd.,4.5
Sacro HP Dry Syrup 50ml,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Cipla Ltd.,4.3
Sacrolyte 5Billion Spores Powder 1'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Biocon Ltd.,4.1
Sacrolyte Plus Sachet 1gm, reduces diarrhoea,Diarrhoea,Aurobindo Pharma Ltd.,3.9
Sonata 250mg Powder 1.5gm,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Torrent Pharmaceuticals Ltd.,3.5
Sporlac Powder Sachet 4X1gmSporlac Dry Syrup 50mlSporlac Plus Powder 1gmSporlac Plus Capsule 10'SSporlac Tablet 20'SSporlac Qik Sachet 1gm," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Lupin Ltd.,3.4
Sporlac AB Powder 1gm, reduces diarrhoea,Diarrhoea,Cadila Healthcare Ltd.,3.3
SPORLAC BANANA FLAVOUR Powder 1gm, reduces diarrhoea,Diarrhoea,Abbott India Ltd.,3.25
Sporlac DS Tablet 20'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Alkem Laboratories Ltd.,3.2
STARLOP 2mg Tablet 10's," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Glaxosmithkline Pharmaceuticals Ltd.,3.1
Stibs Sachet 1'SStibs Tablet 10'S, reduces diarrhoea,Diarrhoea,Ipca Laboratories Ltd.,3.0
SUPERDAC Tablet 10's,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Alembic Pharmaceuticals Ltd.,2.9
Superflora GG Sachet 1gmSuperflora GG Capsule 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Glenmark Pharmaceuticals Ltd.,2.7
TANSY GUT Capsule 10's, reduces diarrhoea,Diarrhoea,JB Chemicals & Pharmaceuticals Ltd.,2.5
Tiniba N Tablet 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Sun Pharmaceutical Industries Ltd.,4.8
TININOR SF Tablet 10's," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Dr. Reddys Laboratories Ltd.,4.7
TROPAMIDE 2mg Tablet 10's, reduces diarrhoea,Diarrhoea,Divis Laboratories Ltd.,4.5
Trotz 10mg Powder 1.5gm,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Cipla Ltd.,4.3
Tufpro Suspension 10X5ml," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Biocon Ltd.,4.1
UTIVAX Capsule 10's, reduces diarrhoea,Diarrhoea,Aurobindo Pharma Ltd.,3.9
Vebiotic Capsule 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Torrent Pharmaceuticals Ltd.,3.5
Velgut D Sachet 1gmVelgut Capsule 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Lupin Ltd.,3.4
Vibact Capsule 10'SVibact 0.5gm PowderVibact Dry Syrup 50ml, reduces diarrhoea,Diarrhoea,Cadila Healthcare Ltd.,3.3
Vibact DS Capsule 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Abbott India Ltd.,3.25
Vitagut Capsule 10'S," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Alkem Laboratories Ltd.,3.2
Vitagut Forte Capsule 10'S, reduces diarrhoea,Diarrhoea,Glaxosmithkline Pharmaceuticals Ltd.,3.1
Vizylac Dry Syrup 60mlVizylac Capsule 15'S, reduces diarrhoea,Diarrhoea,Ipca Laboratories Ltd.,3.0
Vizylac DT Tablet 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Alembic Pharmaceuticals Ltd.,2.9
Vizylac Rich Granules Sachet 8X1gm," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Glenmark Pharmaceuticals Ltd.,2.7
VSL 3 Capsule 10'S, reduces diarrhoea,Diarrhoea,JB Chemicals & Pharmaceuticals Ltd.,2.5
VSL 3 Lite Capsule 10'S,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Sun Pharmaceutical Industries Ltd.,4.8
Vygene Solution 100ml," diarrhoea associated with irritable bowel syndrome (IBS), in adults aged 18 years and over",Diarrhoea,Dr. Reddys Laboratories Ltd.,4.7
Walamycin Suspension 30ml, reduces diarrhoea,Diarrhoea,Divis Laboratories Ltd.,4.5
Wonderpro Banana Flavour 1gm Sachet,reduces short-lived (acute) diarrhoea in adults and children over 12 years of age,Diarrhoea,Cipla Ltd.,4.3
